k,omega
2.93358212278,4.7158180726321319
3.15322251262,5.0137641677613001
3.80093726913,5.8295532566777046
3.34824694545,5.2682695288901886
3.62927984421,5.7449759771060895
3.69643886589,5.7400226983864489
3.75859250134,5.770936038122187
2.64208422303,4.2396878065840218
2.90946362568,4.6617842527480882
2.72836838397,4.3283227147995511
2.53300917498,4.023027250851051
3.43224693411,5.3422173056328619
3.27461291081,5.1591573170630252
3.39929352022,5.3025054043780138
2.72919633419,4.2586296031269208
3.29672637836,5.1671032923657618
3.61409946179,5.5753261345160405
2.92168365551,4.6721540107692716
3.08621753147,4.9009391887627993
3.85300839264,5.9654706801901352
2.55226895284,4.0526013524700897
2.49543377703,3.9405397046173407
3.79263988276,5.8843171051609779
3.6009418875,5.5809624666925925
3.85629137021,5.8620520612105826
3.12483366148,4.9537978504810392
3.75130612952,5.906106405839191
3.14397459537,4.885342707585135
2.96721539847,4.7197709467596152
3.60074043736,5.6867078171233878
2.59302157449,4.1087886772940196
2.79858114424,4.3356267421671193
3.2898059413,5.1033877315769782
3.15842172451,4.9891478481787379
2.87361835712,4.5214256802562014
2.79155694146,4.4310607435568645
3.34235356745,5.2134596602528838
3.54259160249,5.5186216327701549
2.72211624963,4.3503663341761714
3.55913531116,5.4336143222881317
3.21712642507,5.0640058989233649
2.66108583699,4.2836917546196718
3.37311923193,5.3416794283088587
3.17937335822,4.9697498666845759
2.88553067213,4.5931427338813915
3.0050153587,4.6996196178769232
3.14193962797,4.9583328878840529
3.28720422679,5.1781754944920992
3.68458379145,5.7038300792560568
3.1384013443,4.8930708754758241
3.24566703821,5.1894255609778117
2.94293748817,4.6548812755632172
3.36781960437,5.2319063296883899
3.72402333589,5.7872389802561903
2.662317948,4.2169296358708719
3.37300372761,5.2939373186054999
3.7752457469,5.8186655127014921
3.57045588274,5.5382003548869418
3.02166892726,4.7338243472168697
2.96625291622,4.6548355124769012
2.88606500873,4.6037503741755232
3.76083691702,5.8125552845492718
2.94642960699,4.6088363309301741
2.60166637887,4.1778723416932948
3.82148947489,5.9950609898243492
2.58651119314,4.1797371515174584
3.53794907824,5.5276738320335861
3.50211200462,5.5440728488769988
2.81614983014,4.3896473484120717
3.013277223,4.7778895065442706
2.5864019683,4.1857777871286315
2.49783077186,4.0115235585722298
2.74909434357,4.3831226874135929
3.60113218455,5.6115875518350977
2.63160835043,4.1971339544140349
3.63845551928,5.6232548338165724
2.74825963366,4.4032368472483467
2.83712229536,4.4589053502743567
3.6193619426,5.5743970126112954
3.16255396273,4.9086577576148409
2.99905908945,4.7296913860315142
2.63984244323,4.279940259807935
2.77812063554,4.4286403632978049
3.43430031235,5.352663144154528
3.32021842331,5.2092150640979824
2.70506187541,4.3135431786988834
3.70251521074,5.7444201620848752
2.91872547222,4.6441491753663513
2.68208303785,4.2656089879610377
3.00019542817,4.6684698901912522
2.75419755482,4.4684647465942833
2.76366119962,4.3748215709904219
3.63358823765,5.7026300560417535
3.85406043973,5.9255297322345575
2.51790039094,4.0409138068916581
3.5636593708,5.3881013613651492
3.84433967747,5.9398438635895188
2.90048466653,4.5910595057591506
3.64256734669,5.6093452632115444
3.73302570325,5.8084865381995598
2.66035607858,4.2654397281292171
3.79394249601,5.7449082496808481
2.81850197184,4.538110174901691
3.61775798299,5.5837567554232725
3.29518661009,5.1153208486731794
3.04401693522,4.7994274167408966
2.92632147732,4.6531892490213176
3.54447880529,5.5346238131829448
3.56184479624,5.5383438450825819
3.31025216723,5.1401577167471544
3.48490915315,5.4465778919365908
2.95212845396,4.7543654910808133
3.49300817665,5.3237384786402231
2.92223399988,4.5871058609288973
2.67252962721,4.3018672771963651
3.60092424898,5.6219878982212217
3.819486871,5.9161055335262285
3.87663288337,6.0736225991895427
3.56890314528,5.6143774002954556
2.70355767286,4.2865475973316602
3.10799663647,4.8461512201151038
2.91262308004,4.6374153027310374
2.56440583309,4.0731634488697726
2.82640897576,4.5023776748135393
3.01178492992,4.7894092555481391
3.27136734123,5.1400915168985613
3.00995641457,4.7425936564246953
3.09137347689,4.8050867846067957
3.60321569342,5.6608165130926222
2.91708450091,4.5570111917767688
3.77634361522,5.7551578895216258
3.04407275031,4.6878322546774349
2.81608695822,4.3929283653655951
3.8758095655,5.9188231764162627
3.29039500084,5.0831126821246242
3.6212066513,5.6282655783132594
