ID,dataset,orgfile,target,IndependentVars,ParameterNames,ParameterValues,FixedConstantValues,PySRFeatures,feature_name_map,complexity,loss,score,equation,sympy_format,restored_equation,orgpara_list,para_eq,para_list
P06,1,1.csv,omega,"[""k""]","[""d""]",[3.29579959],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",39,0.0024973312,3.77188443926015e-05,((((xv_a + cos(xv_a + 0.62440157)) * sin((((xv_a ^ xv_a) + (xv_a + (xv_a + 0.21107775))) * 0.5252494) * xv_a)) * -0.0021067262) + (sqrt(xv_a) * ((sin(xv_a) * ((xv_a * -0.043666575) + -0.00022615188)) + 4.241065))) + -2.5919335,sqrt(xv_a)*((-0.043666575*xv_a - 0.00022615188)*sin(xv_a) + 4.241065) - 0.0021067262*(xv_a + cos(xv_a + 0.62440157))*sin(xv_a*(1.0504988*xv_a + 0.5252494*xv_a**xv_a + 0.11086846154085)) - 2.5919335,sqrt(k)*((-0.043666575*k - 0.00022615188)*sin(k) + 4.241065) - 0.0021067262*(k + cos(k + 0.62440157))*sin(k*(1.0504988*k + 0.5252494*k**k + 0.11086846154085)) - 2.5919335,"[-2.59193350000000, 1/2, 4.24106500000000, -0.000226151880000000, -0.0436665750000000, -0.00210672620000000, 0.624401570000000, 0.110868461540850, 0.525249400000000, 1.05049880000000]",k**p1*(p2 + (k*p4 + p3)*sin(k)) + p0 + p5*(k + cos(k + p6))*sin(k*(k*p9 + k**k*p8 + p7)),"[p0, p1, p2, p3, p4, p5, p6, p7, p8, p9]"
P06,1,1.csv,omega,"[""k""]","[""d""]",[3.29579959],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",37,0.0024975196,5.3790478112348206e-05,((((cos(xv_a) + xv_a) / 0.8519529) * sin((0.5252425 * xv_a) * ((xv_a ^ xv_a) + ((xv_a + xv_a) + 0.21107775)))) * -0.0021023003) + ((sqrt(xv_a) * ((xv_a * (sin(xv_a) * -0.04367082)) + 4.2410674)) + -2.5919323),sqrt(xv_a)*(-0.04367082*xv_a*sin(xv_a) + 4.2410674) - 0.0021023003*(1.17377380838776*xv_a + 1.17377380838776*cos(xv_a))*sin(0.5252425*xv_a*(2*xv_a + xv_a**xv_a + 0.21107775)) - 2.5919323,sqrt(k)*(-0.04367082*k*sin(k) + 4.2410674) - 0.0021023003*(1.17377380838776*k + 1.17377380838776*cos(k))*sin(0.5252425*k*(2*k + k**k + 0.21107775)) - 2.5919323,"[-2.59193230000000, 1/2, 4.24106740000000, -0.0436708200000000, -0.00210230030000000, 1.17377380838776, 0.525242500000000, 0.211077750000000, 2]",k**p1*(k*p3*sin(k) + p2) + p0 + p4*(k*p5 + p5*cos(k))*sin(k*p6*(k*p8 + k**k + p7)),"[p0, p1, p2, p3, p4, p5, p6, p7, p8]"
P06,1,1.csv,omega,"[""k""]","[""d""]",[3.29579959],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",35,0.0024977883,0.00022020635710602975,((xv_a + cos(xv_a)) * (sin(((xv_a ^ xv_a) + (xv_a + (xv_a + 0.21107775))) * (0.5252425 * xv_a)) * -0.0021023003)) + ((sqrt(xv_a) * ((xv_a * (sin(xv_a) * -0.04367082)) + 4.2410674)) + -2.5919323),sqrt(xv_a)*(-0.04367082*xv_a*sin(xv_a) + 4.2410674) - 0.0021023003*(xv_a + cos(xv_a))*sin(0.5252425*xv_a*(2*xv_a + xv_a**xv_a + 0.21107775)) - 2.5919323,sqrt(k)*(-0.04367082*k*sin(k) + 4.2410674) - 0.0021023003*(k + cos(k))*sin(0.5252425*k*(2*k + k**k + 0.21107775)) - 2.5919323,"[-2.59193230000000, 1/2, 4.24106740000000, -0.0436708200000000, -0.00210230030000000, 0.525242500000000, 0.211077750000000, 2]",k**p1*(k*p3*sin(k) + p2) + p0 + p4*(k + cos(k))*sin(k*p5*(k*p7 + k**k + p6)),"[p0, p1, p2, p3, p4, p5, p6, p7]"
P06,1,1.csv,omega,"[""k""]","[""d""]",[3.29579959],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",33,0.0024988886,0.000166986360304991,((xv_a * (sin((((xv_a ^ xv_a) + (xv_a + (xv_a + 0.21107775))) * 0.5252425) * xv_a) * -0.0021023003)) + (sqrt(xv_a) * ((xv_a * (sin(xv_a) * -0.04367082)) + 4.2410674))) + -2.5919323,sqrt(xv_a)*(-0.04367082*xv_a*sin(xv_a) + 4.2410674) - 0.0021023003*xv_a*sin(xv_a*(1.050485*xv_a + 0.5252425*xv_a**xv_a + 0.110867005104375)) - 2.5919323,sqrt(k)*(-0.04367082*k*sin(k) + 4.2410674) - 0.0021023003*k*sin(k*(1.050485*k + 0.5252425*k**k + 0.110867005104375)) - 2.5919323,"[-2.59193230000000, 1/2, 4.24106740000000, -0.0436708200000000, -0.00210230030000000, 0.110867005104375, 0.525242500000000, 1.05048500000000]",k*p4*sin(k*(k*p7 + k**k*p6 + p5)) + k**p1*(k*p3*sin(k) + p2) + p0,"[p0, p1, p2, p3, p4, p5, p6, p7]"
P06,1,1.csv,omega,"[""k""]","[""d""]",[3.29579959],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",31,0.0024997233,0.00023563831863280616,(sqrt((sin(((xv_a ^ xv_a) + (xv_a + (xv_a + 0.21107775))) * (0.5252425 * xv_a)) * -0.0041443217) + xv_a) * ((sin(xv_a) * (xv_a * -0.04367082)) + 4.2410674)) + -2.5919323,sqrt(xv_a - 0.0041443217*sin(0.5252425*xv_a*(2*xv_a + xv_a**xv_a + 0.21107775)))*(-0.04367082*xv_a*sin(xv_a) + 4.2410674) - 2.5919323,sqrt(k - 0.0041443217*sin(0.5252425*k*(2*k + k**k + 0.21107775)))*(-0.04367082*k*sin(k) + 4.2410674) - 2.5919323,"[-2.59193230000000, -0.00414432170000000, 0.525242500000000, 0.211077750000000, 2, 1/2, 4.24106740000000, -0.0436708200000000]",p0 + (k + p1*sin(k*p2*(k*p4 + k**k + p3)))**p5*(k*p7*sin(k) + p6),"[p0, p1, p2, p3, p4, p5, p6, p7]"
P06,1,1.csv,omega,"[""k""]","[""d""]",[3.29579959],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",30,0.0025003124,0.00013949283818087444,((sin((((xv_a + (xv_a ^ xv_a)) + xv_a) * 0.52633953) * xv_a) * -0.005112661) + -2.5938156) + (sqrt(xv_a) * ((sin(xv_a) * atan(xv_a * -0.0439422)) + 4.2421193)),sqrt(xv_a)*(-sin(xv_a)*atan(0.0439422*xv_a) + 4.2421193) - 0.005112661*sin(xv_a*(1.05267906*xv_a + 0.52633953*xv_a**xv_a)) - 2.5938156,sqrt(k)*(-sin(k)*atan(0.0439422*k) + 4.2421193) - 0.005112661*sin(k*(1.05267906*k + 0.52633953*k**k)) - 2.5938156,"[-2.59381560000000, -0.00511266100000000, 0.526339530000000, 1.05267906000000, 1/2, 4.24211930000000, -1, 0.0439422000000000]",k**p4*(p5 + p6*sin(k)*atan(k*p7)) + p0 + p1*sin(k*(k*p3 + k**k*p2)),"[p0, p1, p2, p3, p4, p5, p6, p7]"
P06,1,1.csv,omega,"[""k""]","[""d""]",[3.29579959],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",29,0.0025006612,0.00019116631324617405,(sqrt(xv_a + (sin(xv_a * ((xv_a + ((xv_a ^ xv_a) + xv_a)) * 0.5262605)) * -0.0040968475)) * (((sin(xv_a) * xv_a) * -0.043663323) + 4.241061)) + -2.5920398,sqrt(xv_a - 0.0040968475*sin(xv_a*(1.052521*xv_a + 0.5262605*xv_a**xv_a)))*(-0.043663323*xv_a*sin(xv_a) + 4.241061) - 2.5920398,sqrt(k - 0.0040968475*sin(k*(1.052521*k + 0.5262605*k**k)))*(-0.043663323*k*sin(k) + 4.241061) - 2.5920398,"[-2.59203980000000, -0.00409684750000000, 0.526260500000000, 1.05252100000000, 1/2, 4.24106100000000, -0.0436633230000000]",p0 + (k + p1*sin(k*(k*p3 + k**k*p2)))**p4*(k*p6*sin(k) + p5),"[p0, p1, p2, p3, p4, p5, p6]"
P06,1,1.csv,omega,"[""k""]","[""d""]",[3.29579959],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",25,0.0025025741,0.0021141843848099784,((cos((xv_a ^ xv_a) * (xv_a * 0.5263694)) * -0.004617311) + -2.5800679) + (sqrt(xv_a) * ((xv_a * (sin(xv_a) * -0.044068642)) + 4.234207)),sqrt(xv_a)*(-0.044068642*xv_a*sin(xv_a) + 4.234207) - 0.004617311*cos(0.5263694*xv_a*xv_a**xv_a) - 2.5800679,sqrt(k)*(-0.044068642*k*sin(k) + 4.234207) - 0.004617311*cos(0.5263694*k*k**k) - 2.5800679,"[-2.58006790000000, -0.00461731100000000, 0.526369400000000, 1/2, 4.23420700000000, -0.0440686420000000]",k**p3*(k*p5*sin(k) + p4) + p0 + p1*cos(k*k**k*p2),"[p0, p1, p2, p3, p4, p5]"
P06,1,1.csv,omega,"[""k""]","[""d""]",[3.29579959],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",24,0.0025078706,4.322298659712066e-05,((((atan(sin((0.75124556 + xv_a) ^ xv_a)) * -0.002224787) + (sin(xv_a) * (-0.043714684 * xv_a))) + 4.241103) * sqrt(xv_a)) + -2.5920153,sqrt(xv_a)*(-0.043714684*xv_a*sin(xv_a) - 0.002224787*atan(sin((xv_a + 0.75124556)**xv_a)) + 4.241103) - 2.5920153,sqrt(k)*(-0.043714684*k*sin(k) - 0.002224787*atan(sin((k + 0.75124556)**k)) + 4.241103) - 2.5920153,"[-2.59201530000000, 1/2, 4.24110300000000, -0.00222478700000000, 0.751245560000000, -0.0437146840000000]",k**p1*(k*p5*sin(k) + p2 + p3*atan(sin((k + p4)**k))) + p0,"[p0, p1, p2, p3, p4, p5]"
P06,1,1.csv,omega,"[""k""]","[""d""]",[3.29579959],"{""c"": 1.5, ""pi"": 3.14159}","[""xv_a""]","{""xv_a"": ""k""}",23,0.002507979,0.00018960661426381826,(sqrt(xv_a) * ((xv_a * ((sin(xv_a) * -0.043724943) + (sin((xv_a + 0.7512786) ^ xv_a) * -0.00055897795))) + 4.2410984)) + -2.5920305,sqrt(xv_a)*(xv_a*(-0.043724943*sin(xv_a) - 0.00055897795*sin((xv_a + 0.7512786)**xv_a)) + 4.2410984) - 2.5920305,sqrt(k)*(k*(-0.043724943*sin(k) - 0.00055897795*sin((k + 0.7512786)**k)) + 4.2410984) - 2.5920305,"[-2.59203050000000, 1/2, 4.24109840000000, -0.0437249430000000, -0.000558977950000000, 0.751278600000000]",k**p1*(k*(p3*sin(k) + p4*sin((k + p5)**k)) + p2) + p0,"[p0, p1, p2, p3, p4, p5]"
