complexity,loss,equation,score,sympy_format,lambda_format
1,0.33040473,4.994965,0.0,4.99496500000000,PySRFunction(X=>4.99496500000000)
3,0.0044817063,xv_a * 1.556224,2.1501572565375713,xv_a*1.556224,PySRFunction(X=>xv_a*1.556224)
5,0.0024437585,(xv_a + 0.25470588) * 1.4432936,0.3032333107217388,(xv_a + 0.25470588)*1.4432936,PySRFunction(X=>(xv_a + 0.25470588)*1.4432936)
7,0.0024387557,(xv_a * 1.5006598) + sin(0.58325803 / xv_a),0.0010246363954823097,xv_a*1.5006598 + sin(0.58325803/xv_a),PySRFunction(X=>xv_a*1.5006598 + sin(0.58325803/xv_a))
8,0.0024387005,sin(atan(0.5978911 / xv_a)) + (xv_a * 1.4999505),2.26347496478438e-05,xv_a*1.4999505 + sin(atan(0.5978911/xv_a)),PySRFunction(X=>xv_a*1.4999505 + sin(atan(0.5978911/xv_a)))
9,0.0024386842,atan(atan(0.60551935 / xv_a)) + (xv_a * 1.4995897),6.6839099241208535e-06,xv_a*1.4995897 + atan(atan(0.60551935/xv_a)),PySRFunction(X=>xv_a*1.4995897 + atan(atan(0.60551935/xv_a)))
10,0.0024386824,(tanh(0.50713176 / xv_a) + (xv_a * 1.492697)) + 0.04998522,7.3810322160296e-07,xv_a*1.492697 + tanh(0.50713176/xv_a) + 0.04998522,PySRFunction(X=>xv_a*1.492697 + tanh(0.50713176/xv_a) + 0.04998522)
11,0.0024380425,((4.218988e-6 / sin(xv_a)) + (xv_a * 1.50102)) + (0.57610375 / xv_a),0.00026243022388757864,xv_a*1.50102 + 4.218988e-6/sin(xv_a) + 0.57610375/xv_a,PySRFunction(X=>xv_a*1.50102 + 4.218988e-6/sin(xv_a) + 0.57610375/xv_a)
13,0.002437224,((0.58531225 / xv_a) + (9.1569814e-7 / (sin(xv_a) + -0.0060734437))) + (xv_a * 1.5001272),0.00016788825958336258,xv_a*1.5001272 + 9.1569814e-7/(sin(xv_a) - 0.0060734437) + 0.58531225/xv_a,PySRFunction(X=>xv_a*1.5001272 + 9.1569814e-7/(sin(xv_a) - 0.0060734437) + 0.58531225/xv_a)
15,0.002431734,sqrt((xv_a * (xv_a + (cos(xv_a * 5.664607e6) * -0.005201575))) - -0.8007722) * 1.4998021,0.0011275517937539162,1.4998021*sqrt(xv_a*(xv_a - 0.005201575*cos(5664607.0*xv_a)) + 0.8007722),PySRFunction(X=>1.4998021*sqrt(xv_a*(xv_a - 0.005201575*cos(5664607.0*xv_a)) + 0.8007722))
17,0.0024288078,((cos((-0.1573751 - xv_a) * 5.664607e6) * 0.0024773872) + sqrt((xv_a * xv_a) - -0.8007775)) * 1.4998118,0.0006020317227857468,1.4998118*sqrt(xv_a**2 + 0.8007775) + 0.00371561455572896*cos(5664607.0*xv_a + 891468.0930857),PySRFunction(X=>1.4998118*sqrt(xv_a**2 + 0.8007775) + 0.00371561455572896*cos(5664607.0*xv_a + 891468.0930857))
19,0.0024283095,((cos(((xv_a - -0.15737519) * 5.664607e6) + 0.59388256) * 0.002477251) + sqrt((xv_a * xv_a) - -0.8007775)) * 1.4998118,0.0001025917166439463,1.4998118*sqrt(xv_a**2 + 0.8007775) + 0.0037154102813618*cos(5664607.0*xv_a + 891469.19678289),PySRFunction(X=>1.4998118*sqrt(xv_a**2 + 0.8007775) + 0.0037154102813618*cos(5664607.0*xv_a + 891469.19678289))
21,0.0024282632,sqrt(((((cos((xv_a + (xv_a * 5.664607e6)) - 364289.3) * -0.0019637742) * xv_a) + xv_a) * xv_a) - -0.80077887) * 1.4998125,9.533472030911154e-06,1.4998125*sqrt(xv_a*(-0.0019637742*xv_a*cos(5664608.0*xv_a - 364289.3) + xv_a) + 0.80077887),PySRFunction(X=>1.4998125*sqrt(xv_a*(-0.0019637742*xv_a*cos(5664608.0*xv_a - 364289.3) + xv_a) + 0.80077887))
23,0.002427596,sqrt((((cos(xv_a + ((xv_a * 5.664607e6) - -441692.84)) * ((xv_a + -2.1769588) * -0.006053607)) + xv_a) * xv_a) - -0.801518) * 1.4997461,0.00013740101941143843,1.4997461*sqrt(xv_a*(xv_a + (0.0131784530303916 - 0.006053607*xv_a)*cos(5664608.0*xv_a + 441692.84)) + 0.801518),PySRFunction(X=>1.4997461*sqrt(xv_a*(xv_a + (0.0131784530303916 - 0.006053607*xv_a)*cos(5664608.0*xv_a + 441692.84)) + 0.801518))
