train_noise,test_noise,valid_pair_count,noisy_invalid_count,median_delta_r2,q10_delta_r2,q90_delta_r2,fraction_delta_positive
0.01,0.0,51,1,0.0,-0.006956414236579778,0.00010356118556875682,0.19607843137254902
0.01,0.01,51,1,8.808422063966148e-07,-0.014892710041067625,7.788872194058882e-05,0.6862745098039216
0.01,0.03,50,2,1.4346718164526262e-05,-0.015349681535550028,0.00025892034028786114,0.84
0.01,0.05,51,1,2.880976237695787e-05,-0.012468086472204432,0.0004136676638855086,0.7843137254901961
0.01,0.1,51,1,0.00011547441221504418,-0.013362007778612406,0.0014210997243385703,0.7450980392156863
0.03,0.0,52,0,0.0,-0.08435206369602921,0.0,0.09615384615384616
0.03,0.01,52,0,5.301385730960284e-07,-0.07873083326773471,1.7884504874277059e-06,0.5769230769230769
0.03,0.03,52,0,4.810455625336996e-06,-0.08497106292180595,1.4710811340223895e-05,0.6538461538461539
0.03,0.05,52,0,1.2424594025450819e-05,-0.07490214527240419,3.481287940120259e-05,0.6538461538461539
0.03,0.1,52,0,4.17763599798171e-05,-0.06761105328545357,0.00013477482847197296,0.6730769230769231
