train_noise,test_noise,common_id_count,valid_count,invalid_count,median_r2,q10_r2,q25_r2,q75_r2,high_accuracy_count,high_accuracy_rate,positive_r2_count,positive_r2_rate
0.0,0.0,52,52,0,1.0,0.9930928267281163,0.9999986615245742,1.0,51,0.864406779661017,52,0.8813559322033898
0.0,0.01,52,52,0,0.9992343409092398,0.9827728189837847,0.9985273849401313,0.999477031745519,51,0.864406779661017,52,0.8813559322033898
0.0,0.03,52,52,0,0.9933092630564625,0.9662032375633969,0.9877377186831608,0.9953458388637485,50,0.847457627118644,52,0.8813559322033898
0.0,0.05,52,52,0,0.9819645491281894,0.9287503169519012,0.9692014742770867,0.987728186017703,49,0.8305084745762712,52,0.8813559322033898
0.0,0.1,52,52,0,0.9309248913220375,0.766719343779713,0.8922078940925033,0.9503099214197486,37,0.6271186440677966,52,0.8813559322033898
0.01,0.0,52,51,1,1.0,0.9734678070859656,0.9999943420343365,1.0,48,0.8135593220338984,50,0.847457627118644
0.01,0.01,52,51,1,0.9992231336371424,0.9722400209023694,0.9983411355971449,0.9994733434136904,47,0.7966101694915254,50,0.847457627118644
0.01,0.03,52,50,2,0.993108221976335,0.9004168749533161,0.9859302898589943,0.9952255506716612,45,0.7627118644067796,49,0.8305084745762712
0.01,0.05,52,51,1,0.9809998826171672,0.9248667244660768,0.9661360531801949,0.9869503990816052,46,0.7796610169491526,51,0.864406779661017
0.01,0.1,52,51,1,0.9297210627969604,0.6626882200490045,0.8782185408689834,0.9497702470249278,35,0.5932203389830508,50,0.847457627118644
0.03,0.0,52,52,0,0.9999997429263322,0.8974676653468164,0.999053725835841,1.0,46,0.7796610169491526,50,0.847457627118644
0.03,0.01,52,52,0,0.9992118354503744,0.9038190275141548,0.9957324749765157,0.9994690682187234,47,0.7966101694915254,49,0.8305084745762712
0.03,0.03,52,52,0,0.9930473227918575,0.9038579642884063,0.9740031963735656,0.9951974554772051,47,0.7966101694915254,50,0.847457627118644
0.03,0.05,52,52,0,0.9810073629938765,0.8079871917740904,0.9306149734582136,0.9868758094436335,45,0.7627118644067796,50,0.847457627118644
0.03,0.1,52,52,0,0.9288799880551739,0.532799128192882,0.870661919874258,0.9506199624644993,34,0.576271186440678,49,0.8305084745762712
